Email,Produto,Preço Unitário,Quantidade,Valor Total,Cidade,Estado,Método de Pagamento,Data
aragaoluiz-gustavo@teixeira.br,Pré-Treino,89.9,4,359.6,da Costa,PI,Pix,2024-04-28
ana-vitoriadas-neves@martins.com,Pré-Treino,89.9,2,179.8,Porto,AP,Boleto,2025-02-20
sophiearaujo@da.br,Multivitaminas,39.9,5,199.5,Cardoso,AP,Pix,2023-07-01
murilocavalcanti@rodrigues.com,Barra de Proteína,12.5,4,50.0,Moraes de Santos,BA,Pix,2023-11-09
qdias@fernandes.br,Pré-Treino,89.9,5,449.5,da Conceição Verde,AC,Pix,2024-11-16
thalespereira@da.br,Multivitaminas,39.9,4,159.6,Melo,PB,Pix,2024-06-26
zfarias@gmail.com,Barra de Proteína,12.5,3,37.5,Nunes,SP,Cartão,2024-01-06
rnascimento@hotmail.com,GCoffee,59.9,3,179.7,Azevedo,ES,Boleto,2024-09-12
liviacardoso@uol.com.br,Multivitaminas,39.9,5,199.5,Costa,RS,Pix,2024-07-03
diasmaria-clara@bol.com.br,Pré-Treino,89.9,4,359.6,Gonçalves,MG,Cartão,2024-06-18
paulomoreira@uol.com.br,Pré-Treino,89.9,3,269.7,Vieira do Sul,BA,Pix,2024-03-01
ksilva@carvalho.org,Creatina,99.9,2,199.8,Moura,AP,Boleto,2023-04-18
leandrocostela@ig.com.br,Pré-Treino,89.9,5,449.5,Viana,TO,Cartão,2023-10-03
hduarte@melo.br,Whey Protein,149.9,2,299.8,Fogaça de Goiás,PA,Cartão,2023-07-13
esther73@jesus.com,GCoffee,59.9,5,299.5,Almeida,SC,Cartão,2024-08-17
evelyn18@yahoo.com.br,Creatina,99.9,5,499.5,Ribeiro do Oeste,MS,Cartão,2024-09-09
zcorreia@moura.com,Pré-Treino,89.9,5,449.5,Nogueira,RN,Cartão,2024-06-17
caue41@hotmail.com,Whey Protein,149.9,5,749.5,Jesus de Moura,AM,Boleto,2024-02-29
nicolascampos@yahoo.com.br,Multivitaminas,39.9,5,199.5,Peixoto de das Neves,BA,Pix,2024-10-10
wsales@lopes.br,Creatina,99.9,3,299.7,Viana de Moreira,CE,Pix,2024-04-25
pedro-miguelda-cruz@da.com,Barra de Proteína,12.5,2,25.0,Farias,SP,Pix,2023-10-14
ninada-cruz@yahoo.com.br,Creatina,99.9,4,399.6,da Rosa,MT,Boleto,2023-03-04
fariasmatheus@bol.com.br,Multivitaminas,39.9,4,159.6,da Costa Verde,BA,Boleto,2023-10-28
maysadias@farias.br,Multivitaminas,39.9,3,119.7,Ribeiro das Flores,PI,Boleto,2024-06-19
maria-eduarda27@yahoo.com.br,Whey Protein,149.9,5,749.5,Oliveira de Duarte,MT,Cartão,2024-06-18
bbarbosa@lima.br,Whey Protein,149.9,4,599.6,Peixoto,PA,Boleto,2023-12-22
mcastro@uol.com.br,Pré-Treino,89.9,5,449.5,Lopes de Minas,RR,Pix,2024-03-14
gazevedo@rezende.com,Barra de Proteína,12.5,1,12.5,Lima,RN,Pix,2024-04-27
rduarte@da.br,Multivitaminas,39.9,1,39.9,Azevedo Alegre,MA,Cartão,2024-07-12
moraesbenjamin@duarte.com,Creatina,99.9,1,99.9,Pires dos Dourados,CE,Boleto,2023-11-24
bcunha@yahoo.com.br,Pré-Treino,89.9,3,269.7,Pereira do Oeste,MS,Pix,2024-02-24
goncalvesbreno@moura.br,GCoffee,59.9,5,299.5,Ribeiro,PA,Cartão,2024-09-30
da-mataalice@ig.com.br,Multivitaminas,39.9,3,119.7,Campos da Prata,PE,Cartão,2023-02-26
pietramonteiro@uol.com.br,GCoffee,59.9,3,179.7,Fogaça do Galho,AM,Cartão,2024-04-10
qaraujo@porto.br,Whey Protein,149.9,2,299.8,Freitas,MS,Boleto,2025-02-13
caroline99@ferreira.com,Barra de Proteína,12.5,2,25.0,Monteiro do Amparo,RJ,Pix,2023-08-14
leandrocaldeira@ig.com.br,Whey Protein,149.9,5,749.5,Peixoto,MG,Cartão,2023-02-24
da-costabreno@dias.com,Barra de Proteína,12.5,3,37.5,Costela do Campo,AL,Boleto,2024-10-08
ucosta@ig.com.br,Creatina,99.9,3,299.7,da Mata,BA,Boleto,2023-06-27
leticiafernandes@hotmail.com,Pré-Treino,89.9,3,269.7,Castro Grande,TO,Cartão,2023-07-25
bcostela@goncalves.com,Whey Protein,149.9,5,749.5,Rocha,CE,Boleto,2024-08-20
sabrina76@gmail.com,Whey Protein,149.9,2,299.8,Moura,RN,Cartão,2024-12-02
marcelo08@barros.net,Pré-Treino,89.9,2,179.8,da Paz de Cardoso,AL,Boleto,2023-04-04
larissa09@rocha.net,GCoffee,59.9,2,119.8,Lima,SE,Boleto,2023-02-27
tfarias@bol.com.br,Pré-Treino,89.9,5,449.5,Barros,DF,Pix,2023-08-03
xfreitas@yahoo.com.br,Creatina,99.9,4,399.6,Ferreira do Sul,PI,Cartão,2024-12-05
jda-rosa@porto.com,GCoffee,59.9,1,59.9,Moraes,RO,Boleto,2024-08-23
costaaugusto@hotmail.com,Multivitaminas,39.9,4,159.6,Farias,MA,Boleto,2025-04-14
nicolas38@gmail.com,Pré-Treino,89.9,5,449.5,Costela de da Rosa,RJ,Pix,2025-03-21
nnogueira@bol.com.br,Creatina,99.9,1,99.9,Nascimento,AP,Pix,2024-09-29
andremendes@yahoo.com.br,Multivitaminas,39.9,3,119.7,Carvalho de Moura,RS,Pix,2023-10-02
camila58@santos.com,Pré-Treino,89.9,1,89.9,Ramos,RR,Boleto,2024-06-07
marcos-vinicius45@bol.com.br,Multivitaminas,39.9,2,79.8,Melo,ES,Cartão,2024-11-17
afernandes@ramos.br,Creatina,99.9,2,199.8,Barbosa do Campo,CE,Cartão,2024-09-11
lda-rocha@bol.com.br,Creatina,99.9,1,99.9,Ferreira de Nogueira,MS,Pix,2024-08-26
pedro-lucasjesus@goncalves.br,Creatina,99.9,1,99.9,Nascimento,RS,Boleto,2023-12-31
pedro-lucas92@novaes.br,GCoffee,59.9,5,299.5,Nunes,ES,Cartão,2024-05-25
maria06@pires.com,Whey Protein,149.9,3,449.7,Fogaça da Serra,SE,Boleto,2023-05-15
cnogueira@carvalho.br,GCoffee,59.9,5,299.5,Nascimento,RO,Pix,2024-03-06
pintoana-beatriz@uol.com.br,Barra de Proteína,12.5,2,25.0,Rodrigues,PA,Cartão,2023-09-30
erick78@costela.br,Pré-Treino,89.9,5,449.5,Dias da Praia,CE,Boleto,2023-03-12
rfernandes@da.br,Creatina,99.9,5,499.5,Lopes de da Cunha,AP,Cartão,2024-06-03
aragaodavi-lucca@fernandes.br,Multivitaminas,39.9,4,159.6,Moraes,AC,Cartão,2024-02-10
tda-rosa@da.com,GCoffee,59.9,5,299.5,Campos,RJ,Cartão,2023-06-12
bgoncalves@yahoo.com.br,Pré-Treino,89.9,3,269.7,Peixoto,RO,Cartão,2023-02-01
piresana-vitoria@gmail.com,Barra de Proteína,12.5,2,25.0,Azevedo do Sul,GO,Cartão,2023-08-15
lais24@nogueira.org,Barra de Proteína,12.5,3,37.5,Nunes,SE,Cartão,2023-06-27
caldeiraandre@oliveira.com,GCoffee,59.9,1,59.9,das Neves,RS,Pix,2024-06-30
wcosta@yahoo.com.br,Multivitaminas,39.9,5,199.5,da Mota,SE,Boleto,2023-10-11
vmoura@yahoo.com.br,GCoffee,59.9,5,299.5,Peixoto,PB,Boleto,2024-05-21
elisa58@gmail.com,GCoffee,59.9,5,299.5,Santos de Minas,DF,Pix,2025-01-19
luiz-gustavooliveira@ig.com.br,Barra de Proteína,12.5,4,50.0,Teixeira,ES,Pix,2023-06-20
guilherme74@yahoo.com.br,Multivitaminas,39.9,2,79.8,Novaes do Norte,ES,Pix,2024-07-21
agathanunes@araujo.br,Creatina,99.9,4,399.6,Azevedo do Oeste,MT,Cartão,2023-09-27
claracorreia@hotmail.com,Multivitaminas,39.9,2,79.8,Araújo,BA,Cartão,2023-07-15
yfreitas@lopes.com,Creatina,99.9,2,199.8,Santos Verde,RS,Boleto,2023-05-04
enzo-gabriel35@nogueira.com,Pré-Treino,89.9,3,269.7,Pires Alegre,DF,Boleto,2024-09-10
thales33@gmail.com,Multivitaminas,39.9,1,39.9,da Mota,PE,Pix,2023-01-30
lorenzo64@oliveira.net,Creatina,99.9,4,399.6,Sales,GO,Boleto,2023-10-08
joao-vitorgoncalves@cardoso.com,Whey Protein,149.9,1,149.9,Nascimento Alegre,DF,Pix,2023-12-10
caldeirasarah@da.br,GCoffee,59.9,3,179.7,Fernandes,DF,Pix,2023-08-29
krezende@vieira.com,Whey Protein,149.9,4,599.6,Costa,PE,Boleto,2024-12-29
diogo84@bol.com.br,Creatina,99.9,3,299.7,Melo,AP,Boleto,2024-03-05
uda-cruz@lima.com,Barra de Proteína,12.5,1,12.5,Teixeira,PE,Cartão,2024-07-22
luiz-fernando50@teixeira.net,GCoffee,59.9,4,239.6,Cavalcanti,PI,Pix,2025-01-01
luigi11@alves.com,Barra de Proteína,12.5,3,37.5,Azevedo,PR,Boleto,2024-05-07
da-costafernando@hotmail.com,Multivitaminas,39.9,2,79.8,Mendes,PA,Boleto,2023-09-19
pedro-henrique15@yahoo.com.br,Barra de Proteína,12.5,1,12.5,da Rosa,PB,Cartão,2024-11-14
ida-rosa@castro.net,Whey Protein,149.9,5,749.5,Rocha do Sul,PE,Boleto,2023-03-19
ofreitas@bol.com.br,Multivitaminas,39.9,3,119.7,Fogaça,RS,Pix,2024-03-30
jda-cruz@yahoo.com.br,Pré-Treino,89.9,1,89.9,Fernandes,AC,Boleto,2023-07-30
arthurcostela@da.br,GCoffee,59.9,1,59.9,Nascimento,PE,Cartão,2024-06-12
camilapereira@pires.net,Creatina,99.9,4,399.6,Alves,DF,Pix,2024-04-29
alanada-rosa@bol.com.br,Multivitaminas,39.9,2,79.8,Pires,SE,Pix,2023-08-09
yviana@ig.com.br,Creatina,99.9,2,199.8,Cardoso do Amparo,PA,Boleto,2024-06-03
pietraoliveira@moreira.org,Multivitaminas,39.9,3,119.7,Cardoso de Viana,PE,Pix,2024-09-22
ana-sophia25@gmail.com,Pré-Treino,89.9,2,179.8,Ribeiro Paulista,RS,Boleto,2023-06-06
gomeslavinia@gomes.com,Multivitaminas,39.9,1,39.9,Costa de da Mata,MA,Boleto,2024-02-21
mariana11@bol.com.br,Whey Protein,149.9,4,599.6,Rocha do Galho,PR,Boleto,2024-07-27
jmartins@melo.br,GCoffee,59.9,3,179.7,Rocha de da Mota,RR,Cartão,2023-12-09
nataliapinto@gmail.com,Barra de Proteína,12.5,2,25.0,Mendes,PI,Pix,2023-06-08
zviana@bol.com.br,Creatina,99.9,3,299.7,Lima,MS,Cartão,2023-05-15
vitoria89@uol.com.br,Whey Protein,149.9,5,749.5,Farias,AC,Boleto,2024-12-16
laviniaalves@pinto.com,Creatina,99.9,1,99.9,Pinto,MG,Boleto,2025-03-17
da-rosamaria-alice@ribeiro.com,Whey Protein,149.9,2,299.8,Ramos de Almeida,SC,Pix,2023-05-25
qda-rosa@correia.org,GCoffee,59.9,2,119.8,Barbosa do Oeste,AM,Pix,2024-04-24
maria74@farias.com,Whey Protein,149.9,5,749.5,Ferreira,PR,Cartão,2025-04-12
caio55@bol.com.br,Creatina,99.9,4,399.6,da Mata,MT,Pix,2023-10-24
rebeca50@carvalho.br,Multivitaminas,39.9,4,159.6,Rodrigues,RO,Cartão,2023-10-29
alicia53@uol.com.br,Whey Protein,149.9,2,299.8,Teixeira,DF,Cartão,2023-05-21
ana-beatrizjesus@hotmail.com,GCoffee,59.9,3,179.7,Oliveira,RS,Boleto,2025-02-12
pereiraandre@moura.net,Whey Protein,149.9,4,599.6,Castro,GO,Cartão,2025-02-22
nascimentoleonardo@farias.br,Barra de Proteína,12.5,3,37.5,Souza do Norte,AP,Boleto,2024-08-03
fernando53@da.org,Creatina,99.9,2,199.8,Ferreira,ES,Boleto,2024-12-09
levi29@hotmail.com,Barra de Proteína,12.5,5,62.5,Fogaça de Gonçalves,RS,Cartão,2023-04-01
luccabarbosa@gmail.com,Multivitaminas,39.9,5,199.5,Barbosa,DF,Boleto,2024-07-05
qmartins@da.com,Creatina,99.9,1,99.9,da Cruz Alegre,AL,Cartão,2024-12-12
peixotofernando@da.org,Whey Protein,149.9,5,749.5,Costela do Campo,RS,Pix,2024-11-24
lucas-gabrielsantos@gmail.com,Creatina,99.9,4,399.6,Gomes Paulista,AL,Boleto,2024-02-23
leonardo30@fernandes.net,GCoffee,59.9,3,179.7,Alves de da Luz,BA,Boleto,2024-01-16
novaesthales@hotmail.com,Multivitaminas,39.9,1,39.9,Lopes de Cardoso,SP,Boleto,2023-08-15
joao-miguel00@duarte.org,GCoffee,59.9,4,239.6,Ramos do Sul,ES,Boleto,2023-05-04
lorenzo66@correia.net,Whey Protein,149.9,4,599.6,das Neves,AL,Pix,2023-06-05
souzaluana@hotmail.com,Multivitaminas,39.9,1,39.9,Cavalcanti do Campo,MS,Cartão,2024-06-14
zviana@goncalves.br,Whey Protein,149.9,1,149.9,Fogaça,SC,Pix,2024-09-27
martinspedro@da.br,Creatina,99.9,4,399.6,Caldeira,PE,Pix,2024-07-01
maria-cecilia43@bol.com.br,Pré-Treino,89.9,5,449.5,Pinto,DF,Boleto,2024-11-05
lopesnicole@ig.com.br,Barra de Proteína,12.5,2,25.0,Silveira de Moraes,MS,Cartão,2024-11-26
raquelda-cruz@oliveira.com,Barra de Proteína,12.5,3,37.5,Rezende da Prata,PE,Boleto,2023-07-02
rebecasantos@gmail.com,Multivitaminas,39.9,2,79.8,da Mata de Nunes,TO,Pix,2023-03-09
eda-cruz@bol.com.br,GCoffee,59.9,4,239.6,da Cunha do Norte,GO,Boleto,2024-04-14
thalesda-mata@fernandes.com,GCoffee,59.9,5,299.5,Cardoso da Mata,MG,Boleto,2023-09-14
cauefarias@cunha.br,Barra de Proteína,12.5,2,25.0,Lima,PE,Pix,2024-07-02
maria-ceciliacampos@bol.com.br,Multivitaminas,39.9,1,39.9,Moreira,CE,Pix,2023-10-01
silvaantonio@gomes.com,GCoffee,59.9,4,239.6,Barbosa,PA,Boleto,2023-07-28
augustoalves@bol.com.br,GCoffee,59.9,1,59.9,Gonçalves de Pereira,BA,Pix,2023-06-10
cunhacalebe@vieira.br,Pré-Treino,89.9,3,269.7,Azevedo,AL,Boleto,2023-01-08
caroline12@gmail.com,Multivitaminas,39.9,3,119.7,da Mata,RR,Cartão,2024-09-28
alexiagoncalves@ig.com.br,Multivitaminas,39.9,1,39.9,Martins,AP,Cartão,2023-03-06
gabrielly89@hotmail.com,Pré-Treino,89.9,3,269.7,Gomes do Galho,GO,Pix,2025-04-09
portoana-sophia@bol.com.br,Creatina,99.9,4,399.6,Carvalho de Correia,PB,Cartão,2024-08-17
vpeixoto@yahoo.com.br,Whey Protein,149.9,3,449.7,Cavalcanti do Oeste,SE,Boleto,2023-09-07
da-pazpedro-miguel@almeida.net,Pré-Treino,89.9,2,179.8,Sales,MA,Boleto,2025-03-08
da-rosaenzo@ig.com.br,Pré-Treino,89.9,2,179.8,Nogueira,DF,Boleto,2023-07-22
joao-vitormelo@bol.com.br,Whey Protein,149.9,2,299.8,Lopes do Amparo,BA,Cartão,2025-02-27
olivia25@da.com,Whey Protein,149.9,3,449.7,da Rosa do Amparo,CE,Cartão,2024-08-24
danilolopes@rezende.org,Barra de Proteína,12.5,2,25.0,Araújo,PE,Boleto,2025-02-18
rezendelais@porto.net,Barra de Proteína,12.5,3,37.5,Porto de Nogueira,PA,Cartão,2023-03-11
brendacaldeira@hotmail.com,Whey Protein,149.9,4,599.6,Farias do Norte,AL,Pix,2024-04-07
calebesales@lopes.com,GCoffee,59.9,4,239.6,Carvalho,BA,Cartão,2023-12-03
srezende@cardoso.br,Pré-Treino,89.9,2,179.8,Campos,AM,Cartão,2024-02-17
bmoraes@alves.com,Pré-Treino,89.9,1,89.9,Gomes das Pedras,RS,Boleto,2024-08-19
vgomes@gmail.com,Creatina,99.9,3,299.7,das Neves de Cardoso,BA,Boleto,2023-07-29
lunanovaes@ig.com.br,Whey Protein,149.9,5,749.5,Aragão,SP,Pix,2024-01-04
barrosmarcelo@barros.com,Multivitaminas,39.9,4,159.6,Fogaça de Porto,SE,Boleto,2024-03-05
yagoda-conceicao@rocha.com,Pré-Treino,89.9,5,449.5,Melo de Pereira,SE,Boleto,2024-05-06
martinsluiz-otavio@mendes.br,Multivitaminas,39.9,5,199.5,Nogueira da Serra,TO,Pix,2024-10-09
vinicius00@yahoo.com.br,GCoffee,59.9,5,299.5,Aragão,PR,Cartão,2023-04-18
nogueirabernardo@ig.com.br,Pré-Treino,89.9,2,179.8,Nogueira,RN,Pix,2024-10-21
osilva@nascimento.net,Barra de Proteína,12.5,1,12.5,Cardoso,MA,Boleto,2023-03-15
isadoracorreia@aragao.br,Pré-Treino,89.9,3,269.7,Almeida,DF,Boleto,2023-11-10
da-conceicaobenicio@uol.com.br,GCoffee,59.9,5,299.5,Porto do Galho,RN,Boleto,2024-12-25
fernandosales@novaes.net,Whey Protein,149.9,5,749.5,Araújo,PR,Pix,2023-04-03
dcardoso@carvalho.br,Barra de Proteína,12.5,4,50.0,Costela da Mata,MG,Boleto,2024-03-29
laviniarocha@rocha.br,Multivitaminas,39.9,3,119.7,Carvalho das Pedras,PA,Cartão,2024-08-19
oliviaduarte@uol.com.br,Multivitaminas,39.9,2,79.8,Moraes,PB,Cartão,2023-05-13
vieirapedro-miguel@bol.com.br,Creatina,99.9,1,99.9,Farias,MS,Cartão,2023-11-03
ryanviana@cunha.br,Creatina,99.9,3,299.7,Moraes da Mata,MG,Cartão,2024-04-08
